validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Poa alpina var. nana,Latourr.,Tracheophyta,Poales,Poaceae,Poa,variety,NE,10.421868,63.445268,5,2010,"",Unchecked,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Poa compressa var. laxa,Scribn.,Tracheophyta,Poales,Poaceae,Poa,variety,NE,10.4234,63.4449,7,2008,"",Unchecked,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Dactylis glomerata,L.,Tracheophyta,Poales,Poaceae,Dactylis,species,NE,10.422649,63.44469,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Carex flacca,Schreb.,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,10.4216,63.4453,7,2008,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Linum catharticum,L.,Tracheophyta,Malpighiales,Linaceae,Linum,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Vaccinium vitis-idaea,L.,Tracheophyta,Ericales,Ericaceae,Vaccinium,species,LC,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Succisa pratensis,Moench,Tracheophyta,Dipsacales,Caprifoliaceae,Succisa,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Convolvulus arvensis,L.,Tracheophyta,Solanales,Convolvulaceae,Convolvulus,species,NE,10.424949,63.444353,10,2007,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Vicia sepium,L.,Tracheophyta,Fabales,Fabaceae,Vicia,species,LC,10.42185,63.445276,25,2012,Valid,Accepted,TRUE,Vicia sepium var. alba,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Rubus idaeus  f. succineus,Rehder,Tracheophyta,Rosales,Rosaceae,Rubus,form,NE,10.421859,63.445236,23,2021,Valid,Accepted,TRUE,Rubus idaeus f. albus,Accepted,b124e1e0-4755-430f-9eab-894f25a9b59c
Crataegus maximowiczii,C.K.Schneid.,Tracheophyta,Rosales,Rosaceae,Crataegus,species,NE,10.4236,63.445,7,2008,Valid,Accepted,TRUE,Crataegus sanguinea var. villosa,smallest ID,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Prunus padus f. glauca,(Nakai) Kitag.,Tracheophyta,Rosales,Rosaceae,Prunus,form,LC,10.42202,63.445503,6,2021,"",Unchecked,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Alchemilla monticola,Opiz,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.426153,63.444461,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
